Жим штанги лежа;;Chest
Жим Гантелей (под углом);;Chest
Жим в блоке;;Chest
Сведение в блоке;;Chest
Пуловер (верх груди);;Chest
Сведение лежа;;Chest
Разгибатель;;Legs
Сгибатель;;Legs
Разведение наутилус;;Legs
Присед со штангой;;Legs
Присед сумо с гирями;16; 24; 30 (10/8/6);Legs
Болгарский выпад;одна нога на скамью;Legs
Выпады с гантелями;;Legs
Жим в блоке;;Legs
Присед в гаке;;Legs
Тяга в блоке;с супинированием;Back
Тяга гантелей на скамье лежа на груди 40 градусов;;Back
Тяга гантелей с опорой ноги на лавку;;Back
Подтягивание широким хватом;разведеные локти; к груди (можно гравитрон);Back
Тяга верхнего блока;;Back
Харакири;с канатом;Back
Аналог Харакири с ручкой;прямые руки;Back
Римские скручивания на скамье;;Abdominal
Поднятие ног на лавке;;Abdominal
Полусфера поочередно;;Abdominal
Колесо;;Abdominal
Поднимание ног на брусьях;;Abdominal
Прессмашина;;Abdominal
Армейский жим;;Shoulders
Жим в блоке;;Shoulders
Жим в Смите;чуть под углом;Shoulders
Гантели в сторону;средняя дельта;Shoulders
Гантели на скамье назад;задняя дельта;Shoulders
Веревка в блоке; разведение;задняя дельта;Shoulders
Легкий вес сет;перед/середина/назад;Shoulders
Бицепс стоя с большим грифом;;Byceps
Скотт;гриф/гантели;Byceps
21 стоя;7 до пояса; 7 от пояса; 7 полная амплитуда;Byceps
Сидя молотки;;Byceps
Сидя с разведенными кистями;;Byceps
Подтягивания на бицепс поочередные;в гравитроне;Byceps
Бицепс сидя на корточках в блоке с канатом;;Byceps
Отжимания на брусьях;;Triceps
Французский жим с гантелями на полу;;Triceps
Французский жим с штангой;кривой гриф;Triceps
Жим в блоке;можно чередовать хваты прямая ручка/обратный; кривой/классический;Triceps
Отжимания от скамейки узким хватом;;Triceps
Лыжник с веревкой;;Triceps
